kT  Cv_n0  Cv_n1  Cv_n2  Cv_n3  Cv_n4  Cv_n5
9.899999999999999911e-01 5.087856266601242794e-01 3.924809156631023366e-01 3.022006431167422735e-01 3.192261843655682108e-01 4.201175226633533932e-01 5.349321707912028101e-01
1.000000000000000000e+00 5.126943656878450994e-01 3.976266625409730082e-01 3.087459674795063336e-01 3.251901785944735224e-01 4.244340997827906747e-01 5.382538524940345681e-01
1.010000000000000009e+00 5.166528373072527547e-01 4.028138653046401396e-01 3.153007134082985718e-01 3.311821844263788672e-01 4.288127079641763650e-01 5.416296519350426442e-01
1.020000000000000018e+00 5.206570415465054946e-01 4.080379477420131296e-01 3.218612877531215055e-01 3.371981559056237976e-01 4.332487620538663653e-01 5.450566274439488934e-01
1.030000000000000027e+00 5.247030814446851377e-01 4.132945031804224345e-01 3.284242365819146081e-01 3.432341980694368355e-01 4.377378172678074164e-01 5.485318570419834838e-01
1.040000000000000036e+00 5.287871650570464821e-01 4.185792909475773427e-01 3.349862421715493199e-01 3.492865635061551122e-01 4.422755681368504277e-01 5.520524450172349384e-01
1.050000000000000044e+00 5.329056069240264426e-01 4.238882327233983172e-01 3.415441199350874868e-01 3.553516488686899177e-01 4.468578471541634900e-01 5.556155277521944713e-01
1.060000000000000053e+00 5.370548290593647467e-01 4.292174088065014437e-01 3.480948153003492473e-01 3.614259913575422756e-01 4.514806231632332301e-01 5.592182788652159120e-01
1.070000000000000062e+00 5.412313615082355867e-01 4.345630543165369675e-01 3.546354005532776910e-01 3.675062651863886254e-01 4.561399995212963576e-01 5.628579137231959351e-01
1.080000000000000071e+00 5.454318425216025945e-01 4.399215553514345123e-01 3.611630716584609546e-01 3.735892780418599846e-01 4.608322120697144753e-01 5.665316933787511999e-01
1.090000000000000080e+00 5.496530183892464061e-01 4.452894451164127188e-01 3.676751450678149569e-01 3.796719675479764411e-01 4.655536269397783644e-01 5.702369279813436220e-01
1.100000000000000089e+00 5.538917429699696804e-01 4.506634000398475615e-01 3.741690545275139224e-01 3.857513977445939934e-01 4.703007382195481534e-01 5.739709797081053999e-01
1.110000000000000098e+00 5.581449769542008443e-01 4.560402358893014818e-01 3.806423478919469527e-01 3.918247555881697042e-01 4.750701655048862326e-01 5.777312652568159512e-01
1.120000000000000107e+00 5.624097868909736508e-01 4.614169038994578309e-01 3.870926839528488483e-01 3.978893474821866283e-01 4.798586513554026212e-01 5.815152579401544619e-01
1.130000000000000115e+00 5.666833440083343110e-01 4.667904869223191144e-01 3.935178292905240349e-01 4.039425958437298236e-01 4.846630586739718582e-01 5.853204894175094708e-01
1.140000000000000124e+00 5.709629228537207446e-01 4.721581956087856913e-01 3.999156551535406057e-01 4.099820357118925673e-01 4.894803680265090717e-01 5.891445510976934807e-01
1.150000000000000133e+00 5.752458997781266792e-01 4.775173646294231800e-01 4.062841343723623266e-01 4.160053114028870458e-01 4.943076749168939799e-01 5.929850952434053690e-01
1.160000000000000142e+00 5.795297512859197697e-01 4.828654489413532480e-01 4.126213383117340872e-01 4.220101732161744557e-01 4.991421870303743291e-01 5.968398358057800390e-01
1.169999999999999929e+00 5.838120522699292714e-01 4.882000201071124423e-01 4.189254338660466370e-01 4.279944741952261267e-01 5.039812214572708671e-01 6.007065490151702880e-01
1.179999999999999938e+00 5.880904741495277532e-01 4.935187626706378228e-01 4.251946805012276620e-01 4.339561669459362503e-01 5.088222019074696290e-01 6.045830737521230569e-01
1.189999999999999947e+00 5.923627829278688139e-01 4.988194705944511420e-01 4.314274273463309384e-01 4.398933005153401465e-01 5.136626559250475621e-01 6.084673117206363946e-01
1.199999999999999956e+00 5.966268371826948247e-01 5.041000437618669006e-01 4.376221103373638677e-01 4.458040173326399680e-01 5.185002121111560447e-01 6.123572274439326169e-01
1.209999999999999964e+00 6.008805860037258473e-01 5.093584845470021660e-01 4.437772494155259317e-01 4.516865502142847211e-01 5.233325973624252114e-01 6.162508481013093675e-01
1.219999999999999973e+00 6.051220668884621512e-01 5.145928944550779427e-01 4.498914457817130286e-01 4.575392194343764207e-01 5.281576341311625677e-01 6.201462632230827499e-01
1.229999999999999982e+00 6.093494036067490516e-01 5.198014708348958068e-01 4.559633792086112969e-01 4.633604298613478445e-01 5.329732377128599818e-01 6.240416242592107254e-01
1.239999999999999991e+00 6.135608040436859589e-01 5.249825036649413690e-01 4.619918054115306205e-01 4.691486681616232057e-01 5.377774135657458210e-01 6.279351440358389436e-01
1.250000000000000000e+00 6.177545580292019833e-01 5.301343724141924785e-01 4.679755534788047067e-01 4.749025000705950905e-01 5.425682546665042683e-01 6.318250961127992449e-01
1.260000000000000009e+00 6.219290351618252943e-01 5.352555429783144580e-01 4.739135233622890908e-01 4.806205677310937396e-01 5.473439389056481419e-01 6.357098140539690911e-01
1.270000000000000018e+00 6.260826826333976136e-01 5.403445646916651413e-01 4.798046834283002937e-01 4.863015870992691836e-01 5.521027265255274985e-01 6.395876906213261437e-01
1.280000000000000027e+00 6.302140230605502991e-01 5.454000674151994188e-01 4.856480680690635210e-01 4.919443454176304908e-01 5.568429576034431561e-01 6.434571769026200538e-01
1.290000000000000036e+00 6.343216523282954045e-01 5.504207587001661572e-01 4.914427753746852257e-01 4.975476987548109187e-01 5.615630495819530221e-01 6.473167813816586014e-01
1.300000000000000044e+00 6.384042374502897355e-01 5.554054210272536540e-01 4.971879648653627082e-01 5.031105696114982484e-01 5.662614948480021448e-01 6.511650689594163932e-01
1.310000000000000053e+00 6.424605144498680698e-01 5.603529091206461699e-01 5.028828552834673227e-01 5.086319445917929505e-01 5.709368583622360660e-01 6.550006599334100565e-01
1.320000000000000062e+00 6.464892862653758288e-01 5.652621473363181881e-01 5.085267224450158441e-01 5.141108721392486647e-01 5.755877753395036711e-01 6.588222289421212796e-01
1.330000000000000071e+00 6.504894206829121561e-01 5.701321271237066446e-01 5.141188971499209837e-01 5.195464603366065637e-01 5.802129489812747343e-01 6.626285038805915795e-01
1.340000000000000080e+00 6.544598482991026422e-01 5.749619045598399758e-01 5.196587631503079008e-01 5.249378747683097757e-01 5.848111482605155009e-01 6.664182647927463510e-01
1.350000000000000089e+00 6.583995605162584752e-01 5.797505979548362998e-01 5.251457551761276044e-01 5.302843364446733210e-01 5.893812057592641152e-01 6.701903427454849460e-01
1.360000000000000098e+00 6.623076075718116185e-01 5.844973855276365260e-01 5.305793570171923879e-01 5.355851197866622337e-01 5.939220155590267947e-01 6.739436186890587210e-01
1.370000000000000107e+00 6.661830966036812463e-01 5.892015031507576994e-01 5.359590996607019875e-01 5.408395506700525157e-01 5.984325311839209238e-01 6.776770223078447675e-01
1.380000000000000115e+00 6.700251897529330147e-01 5.938622421627676173e-01 5.412845594833650686e-01 5.460470045278280615e-01 6.029117635963289201e-01 6.813895308651858329e-01
1.390000000000000124e+00 6.738331023048449442e-01 5.984789472471784277e-01 5.465553564970071498e-01 5.512069045095423503e-01 6.073587792447346922e-01 6.850801680456272136e-01
1.400000000000000133e+00 6.776061008692338961e-01 6.030510143763320174e-01 5.517711526466871907e-01 5.563187196964098913e-01 6.117726981632669592e-01 6.887480027974857144e-01
1.410000000000000142e+00 6.813435016007489686e-01 6.075778888189609095e-01 5.569316501602380454e-01 5.613819633708942991e-01 6.161526921224038666e-01 6.923921481784403031e-01
1.419999999999999929e+00 6.850446684596291913e-01 6.120590632098923400e-01 5.620365899481234440e-01 5.663961913394349734e-01 6.204979828301840916e-01 6.960117602064930242e-01
1.429999999999999938e+00 6.887090115132217250e-01 6.164940756805592503e-01 5.670857500525300354e-01 5.713610003071153409e-01 6.248078401832267703e-01 6.996060367184070428e-01
1.439999999999999947e+00 6.923359852785159196e-01 6.208825080487995196e-01 5.720789441445454093e-01 5.762760263029450547e-01 6.290815805667698823e-01 7.031742162375131944e-01
1.449999999999999956e+00 6.959250871056911203e-01 6.252239840665091419e-01 5.770160200683253082e-01 5.811409431544691806e-01 6.333185652029292845e-01 7.067155768525026360e-01
1.459999999999999964e+00 6.994758556026530183e-01 6.295181677237113860e-01 5.818968584311277059e-01 5.859554610104779071e-01 6.375181985462713419e-01 7.102294351087009572e-01
1.469999999999999973e+00 7.029878691004204372e-01 6.337647616075640089e-01 5.867213712380441315e-01 5.907193249105103794e-01 6.416799267258551653e-01 7.137151449130639813e-01
1.479999999999999982e+00 7.064607441590776693e-01 6.379635053149127488e-01 5.914895005703796338e-01 5.954323133999246398e-01 6.458032360327502497e-01 7.171720964540240217e-01
1.489999999999999991e+00 7.098941341139793915e-01 6.421141739169087259e-01 5.962012173065086573e-01 6.000942371893053240e-01 6.498876514521396697e-01 7.205997151371443810e-01
1.500000000000000000e+00 7.132877276618326823e-01 6.462165764743327268e-01 6.008565198841459010e-01 6.047049378569869793e-01 6.539327352390070791e-01 7.239974605374065453e-01
1.510000000000000009e+00 7.166412474861938442e-01 6.502705546022012895e-01 6.054554331028967340e-01 6.092642865934914109e-01 6.579380855364539427e-01 7.273648253688314025e-01
1.520000000000000018e+00 7.199544489218440146e-01 6.542759810823010058e-01 6.099980069660700943e-01 6.137721829867182066e-01 6.619033350356405832e-01 7.307013344720233450e-01
1.530000000000000027e+00 7.232271186575126576e-01 6.582327585222742528e-01 6.144843155606357632e-01 6.182285538467275909e-01 6.658281496763873708e-01 7.340065438201394121e-01
1.540000000000000036e+00 7.264590734763692881e-01 6.621408180599618332e-01 6.189144559743037233e-01 6.226333520689523171e-01 6.697122273874462905e-01 7.372800395436618359e-01
1.550000000000000044e+00 7.296501590336140763e-01 6.660001181116870228e-01 6.232885472487112999e-01 6.269865555348003161e-01 6.735552968654558992e-01 7.405214369743061686e-01
1.560000000000000053e+00 7.328002486705810226e-01 6.698106431631758451e-01 6.276067293676653724e-01 6.312881660484892521e-01 6.773571163916042304e-01 7.437303797082959189e-01
1.570000000000000062e+00 7.359092422645577836e-01 6.735724026019090926e-01 6.318691622794896379e-01 6.355382083090870271e-01 6.811174726850436345e-01 7.469065386891785563e-01
1.580000000000000071e+00 7.389770651137855806e-01 6.772854295896432175e-01 6.360760249524870513e-01 6.397367289167295024e-01 6.848361797920865524e-01 7.500496113103020113e-01
1.590000000000000080e+00 7.420036668567825400e-01 6.809497799738987167e-01 6.402275144625440007e-01 6.438837954119659424e-01 6.885130780102491910e-01 7.531593205369975230e-01
1.600000000000000089e+00 7.449890204253516446e-01 6.845655312372953549e-01 6.443238451119936983e-01 6.479794953472932661e-01 6.921480328461984133e-01 7.562354140484838227e-01
1.610000000000000098e+00 7.479331210305235622e-01 6.881327814835165313e-01 6.483652475787642366e-01 6.520239353898646950e-01 6.957409340066875725e-01 7.592776633994671176e-01
1.620000000000000107e+00 7.508359851806557517e-01 6.916516484588354219e-01 6.523519680949800836e-01 6.560172404544860614e-01 6.992916944216084341e-01 7.622858632013408409e-01
1.630000000000000115e+00 7.536976497310257095e-01 6.951222686081132141e-01 6.562842676541010833e-01 6.599595528659344401e-01 7.028002492982008409e-01 7.652598303228964616e-01
1.640000000000000124e+00 7.565181709641044527e-01 6.985447961641740866e-01 6.601624212457581908e-01 6.638510315497444525e-01 7.062665552056416329e-01 7.681994031103969167e-01
1.650000000000000133e+00 7.592976236998106865e-01 7.019194022695657287e-01 6.639867171174782534e-01 6.676918512505904957e-01 7.096905891890807894e-01 7.711044406268428020e-01
