kT  U_n0  U_n1  U_n2  U_n3  U_n4  U_n5
1.150000000000000133e+00 2.781415602328814352e+00 2.723391798610443004e+00 2.611497188107524181e+00 2.188439303114225076e+00 1.874521107963868616e+00 1.502263076923127771e+00
1.160000000000000142e+00 2.787189480880668757e+00 2.728193722944937338e+00 2.615591742311839774e+00 2.192629396792236562e+00 1.879488352403633655e+00 1.508212190684147469e+00
1.169999999999999929e+00 2.793006192175394808e+00 2.733049062532896034e+00 2.619749504502190796e+00 2.196879438031373422e+00 1.884503966767006933e+00 1.514199913541103504e+00
1.179999999999999938e+00 2.798865708985209366e+00 2.737957670572916058e+00 2.623970134816135058e+00 2.201189210904664684e+00 1.889567983307985699e+00 1.520226354362559595e+00
1.189999999999999947e+00 2.804767981271094168e+00 2.742919377659074343e+00 2.628253276436604668e+00 2.205558479495979274e+00 1.894680409039153135e+00 1.526291600719935415e+00
1.199999999999999956e+00 2.810712937118630350e+00 2.747933992857563901e+00 2.632598556474214035e+00 2.209986988849089062e+00 1.899841226756127766e+00 1.532395719515858179e+00
1.209999999999999964e+00 2.816700483653478582e+00 2.753001304748691425e+00 2.637005586821279834e+00 2.214474465886464127e+00 1.905050396034309701e+00 1.538538757611664920e+00
1.219999999999999973e+00 2.822730507935998112e+00 2.758121082434932259e+00 2.641473964978089839e+00 2.219020620298437940e+00 1.910307854198118660e+00 1.544720742452550866e+00
1.229999999999999982e+00 2.828802877834680540e+00 2.763293076515740410e+00 2.646003274852013032e+00 2.223625145403419268e+00 1.915613517262958254e+00 1.550941682689020329e+00
1.239999999999999991e+00 2.834917442878090998e+00 2.768517020029854780e+00 2.650593087530028757e+00 2.228287718979791165e+00 1.920967280850222281e+00 1.557201568793453728e+00
1.250000000000000000e+00 2.841074035085185301e+00 2.773792629365833928e+00 2.655242962025251341e+00 2.233008004070192065e+00 1.926369021075665433e+00 1.563500373670736465e+00
1.260000000000000009e+00 2.847272469773876491e+00 2.779119605141584071e+00 2.659952445998059467e+00 2.237785649758841089e+00 1.931818595411531447e+00 1.569838053262011979e+00
1.270000000000000018e+00 2.853512546347838352e+00 2.784497633053618415e+00 2.664721076452437831e+00 2.242620291922585718e+00 1.937315843522844361e+00 1.576214547140755151e+00
