kT  z1_n0  z1_n1  z1_n2  z1_n3  z1_n4  z1_n5
3.400000000000000244e-01 1.008604968530670996e-03 1.092108063633950377e-03 1.350357963655354245e-03 4.808479122469971716e-03 1.348197475603077865e-02 4.246304492143728598e-02
3.500000000000000333e-01 1.234466118163600468e-03 1.340660909315505300e-03 1.658967761232717393e-03 5.682530931294524877e-03 1.536346356127153007e-02 4.662588501315845235e-02
3.600000000000000422e-01 1.494510654538287828e-03 1.627684621370118672e-03 2.015208197317680961e-03 6.654991773766390228e-03 1.738697897706275100e-02 5.094487007075215734e-02
3.699999999999999956e-01 1.791282289015743139e-03 1.956154505405760524e-03 2.422639062742867194e-03 7.729251505696264728e-03 1.955230591134090798e-02 5.541231236366707391e-02
3.800000000000000044e-01 2.127242345085750448e-03 2.328954603668414135e-03 2.884676513478918319e-03 8.908234717369085259e-03 2.185872823673248519e-02 6.002066331521334341e-02
3.900000000000000133e-01 2.504754520970091814e-03 2.748857512571300024e-03 3.404568370163786519e-03 1.019440588812795499e-02 2.430507847679694300e-02 6.476254864020176971e-02
4.000000000000000222e-01 2.926072148645149622e-03 3.218507230596502188e-03 3.985373815998690880e-03 1.158977996566476487e-02 2.688978572517926324e-02 6.963079437902386370e-02
4.100000000000000311e-01 3.393327829473072495e-03 3.740404964681873137e-03 4.629947315018465015e-03 1.309593734324216406e-02 2.961092138367698093e-02 7.461844553305639616e-02
4.200000000000000400e-01 3.908525294394129233e-03 4.316897765622830854e-03 5.340926495523038581e-03 1.471404230275911301e-02 3.246624244248814267e-02 7.971877873725191632e-02
4.299999999999999933e-01 4.473533316112895432e-03 4.950169821278797497e-03 6.120723691080083573e-03 1.644486409246313438e-02 3.545323213389552780e-02 8.492531016732866866e-02
4.400000000000000022e-01 5.090081489507861101e-03 5.642236208075175272e-03 6.971520799752626250e-03 1.828879990974071473e-02 3.856913787466120791e-02 9.023179967156402803e-02
4.500000000000000111e-01 5.759757692529130294e-03 6.394938884131507774e-03 7.895267107094480069e-03 2.024589915795263484e-02 4.181100647696518041e-02 9.563225193944785429e-02
4.600000000000000200e-01 6.484007041368427746e-03 7.209944699207554084e-03 8.893679716403502314e-03 2.231588843918828544e-02 4.517571665660193719e-02 1.011209153689732743e-01
4.700000000000000289e-01 7.264132159239633166e-03 8.088745195652190245e-03 9.968246237594185696e-03 2.449819683053447439e-02 4.866000890347468161e-02 1.066922791682311106e-01
4.800000000000000377e-01 8.101294586520816493e-03 9.032657979023188399e-03 1.112022940118216792e-02 2.679198106918012287e-02 5.226051280576717029e-02 1.123410691222144625e-01
4.899999999999999911e-01 8.996517170340900121e-03 1.004282944561883488e-02 1.235067328404993239e-02 2.919615034112614180e-02 5.597377193761560177e-02 1.180622423693772904e-01
5.000000000000000000e-01 9.950687283209124281e-03 1.112023866565532530e-02 1.366041085708579947e-02 3.170939042953922760e-02 5.979626643233999089e-02 1.238509814617796967e-01
5.100000000000000089e-01 1.096456073241294620e-02 1.226570223427518591e-02 1.505007259002548968e-02 3.433018703223097989e-02 6.372443337068980918e-02 1.297026879251245990e-01
5.200000000000000178e-01 1.203876623421814944e-02 1.347987991720598494e-02 1.652009587476479038e-02 3.705684810387037398e-02 6.775468511720705855e-02 1.356129754884518313e-01
5.300000000000000266e-01 1.317381033907221409e-02 1.476328093309005329e-02 1.807073505420770526e-02 3.988752511795151667e-02 7.188342573858690077e-02 1.415776631158193188e-01
5.400000000000000355e-01 1.437008270580582801e-02 1.611627072979649258e-02 1.970207186874762401e-02 4.282023317688286174e-02 7.610706563651752077e-02 1.475927679423432726e-01
5.500000000000000444e-01 1.562786163408544718e-02 1.753907812704477362e-02 2.141402615631022438e-02 4.585286992648797411e-02 8.042203452446501644e-02 1.536544981931230736e-01
5.600000000000000533e-01 1.694731977498412784e-02 1.903180271214661295e-02 2.320636666422308189e-02 4.898323325433880104e-02 8.482479287367028498e-02 1.597592461446881440e-01
5.700000000000000622e-01 1.832852994944332223e-02 2.059442238942116310e-02 2.507872185184271963e-02 5.220903777027970094e-02 8.931184194859456693e-02 1.659035811737258614e-01
5.800000000000000711e-01 1.977147101356166795e-02 2.222680099673161880e-02 2.703059058177331719e-02 5.552793008279185982e-02 9.387973254645591570e-02 1.720842429261888462e-01
5.899999999999999689e-01 2.127603371805917784e-02 2.392869591455338424e-02 2.906135261463567432e-02 5.893750289699885292e-02 9.852507254955698845e-02 1.782981346307918880e-01
5.999999999999999778e-01 2.284202651693641520e-02 2.569976560397746815e-02 3.117027883771549684e-02 6.243530796957977302e-02 1.032445333929803144e-01 1.845423165738691029e-01
6.099999999999999867e-01 2.446918128729890299e-02 2.753957702007177669e-02 3.335654117150347459e-02 6.601886796303668703e-02 1.080348555440441838e-01 1.908139997471363092e-01
6.199999999999999956e-01 2.615715892858069130e-02 2.944761285608330642e-02 3.561922211022486989e-02 6.968568724702259298e-02 1.128928530837769589e-01 1.971105396757599215e-01
6.300000000000000044e-01 2.790555481501203264e-02 3.142327858209775088e-02 3.795732386304660061e-02 7.343326169808117587e-02 1.178154174746414984e-01 2.034294304309796075e-01
6.400000000000000133e-01 2.971390408017791918e-02 3.346590924902555220e-02 4.036977707186032577e-02 7.725908755146025653e-02 1.227995205928920364e-01 2.097682988291614536e-01
6.500000000000000222e-01 3.158168671694793622e-02 3.557477603520488307e-02 4.285544908948740045e-02 8.116066935986825104e-02 1.278422170983020134e-01 2.161248988173848362e-01
6.600000000000000311e-01 3.350833247996756054e-02 3.774909251856161524e-02 4.541315180895146714e-02 8.513552711435636022e-02 1.329406462085973850e-01 2.224971060443565463e-01
6.700000000000000400e-01 3.549322558132982086e-02 3.998802066220145252e-02 4.804164904023282279e-02 8.918120258209870366e-02 1.380920329407798464e-01 2.288829126144924508e-01
6.800000000000000488e-01 3.753570917303494792e-02 4.229067650558976377e-02 5.073966343576295779e-02 9.329526491486042628e-02 1.432936888766434824e-01 2.352804220223148890e-01
6.900000000000000577e-01 3.963508961243557283e-02 4.465613555716078237e-02 5.350588296994098630e-02 9.747531558051357459e-02 1.485430125051740158e-01 2.416878442638326907e-01
