x_ener_n0  ener_new_arr_n0
0.000000000000000000e+00 6.292199347018631705e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.292199347018359923e+00
0.000000000000000000e+00 6.292199347018631705e+00
0.000000000000000000e+00 6.292199347018631705e+00
0.000000000000000000e+00 6.292199347018631705e+00
0.000000000000000000e+00 6.292199347018359923e+00
0.000000000000000000e+00 6.292199347018631705e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451785865333e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 6.603578451786807690e+00
0.000000000000000000e+00 9.178984523257206263e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523257206263e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523257206263e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523257939898e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523257206263e+00
0.000000000000000000e+00 9.178984523257206263e+00
0.000000000000000000e+00 9.178984523257206263e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523258927553e+00
0.000000000000000000e+00 9.178984523257485151e+00
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739363818e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.065348870739278730e+01
0.000000000000000000e+00 1.291837221424484206e+01
0.000000000000000000e+00 1.291837221424484206e+01
0.000000000000000000e+00 1.291837221424560411e+01
0.000000000000000000e+00 1.291837221424560411e+01
0.000000000000000000e+00 1.291837221424633064e+01
0.000000000000000000e+00 1.291837221424560411e+01
0.000000000000000000e+00 1.291837221424560411e+01
