x_ener_n1  ener_new_arr_n1
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069117025594e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116641546e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069117025594e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116812787e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116776549e+01
0.000000000000000000e+00 2.091266069117025594e+01
0.000000000000000000e+00 2.091266069117025594e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069117025594e+01
0.000000000000000000e+00 2.091266069117025594e+01
0.000000000000000000e+00 2.091266069117025594e+01
0.000000000000000000e+00 2.091266069116641546e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116641546e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.091266069116765181e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898786762174e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786905703e+01
0.000000000000000000e+00 2.387880898786841044e+01
0.000000000000000000e+00 2.387880898787076234e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786713857e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898787072326e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.387880898786921335e+01
0.000000000000000000e+00 2.387880898786831807e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653288826e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653461488e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 2.700634460653200364e+01
0.000000000000000000e+00 2.700634460653098756e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807484232e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807383691e+01
0.000000000000000000e+00 3.028310905807253306e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807351361e+01
0.000000000000000000e+00 3.028310905807414599e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807229858e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807384756e+01
0.000000000000000000e+00 3.028310905807544628e+01
0.000000000000000000e+00 3.028310905807408915e+01
0.000000000000000000e+00 3.369903884238451752e+01
0.000000000000000000e+00 3.369903884238451752e+01
0.000000000000000000e+00 3.369903884238730996e+01
